image_filename,# objects,X1 3D,Y1 3D,Z1 3D,X1 Obj Center 2D,Y1 Obj Center 2D
158,2,3.5,1.5,20.5,970.9841300262369,515.8580149657432
158,2,0.0625,1.5,12.75,1243.4491890963473,489.91518453494575
159,2,3.5,1.5,20.5,971.23370707718,515.1031682604131
159,2,0.0625,1.5,12.75,1242.0564314892617,490.8556967993402
177,2,3.375,1.5,21.875,976.4905365522059,517.7984300964872
177,2,0.125,1.5,12.563,1211.9133280605045,493.3648227877601
178,2,3.375,1.5,21.875,976.7790502852429,517.872928406169
178,2,0.125,1.5,12.563,1210.5024508392862,493.4279441761041
179,2,3.375,1.5,21.875,974.9840656183261,518.801557221554
179,2,0.125,1.5,12.563,1210.1947000701834,493.88967996520904
180,2,3.375,1.5,21.875,975.372763623338,518.9909915526596
180,2,0.125,1.5,12.563,1207.2782238260288,493.3225274292607
181,2,3.375,1.5,22.188,976.1847156417741,521.8112488117689
181,2,0.1875,1.5,12.5,1205.9362710624375,493.7852101176378
182,2,3.375,1.5,22.188,977.8217063913099,518.0603145897721
182,2,0.1875,1.5,12.5,1205.8224897560199,494.61940145779676
183,2,3.375,1.5,22.188,978.2441942517733,517.9984288706908
183,2,0.1875,1.5,12.5,1204.8362399731848,494.26707491641434
184,2,3.3125,1.5,22.313,978.9265450287762,516.4267659393556
184,2,0.1875,1.5,12.5,1203.853639384654,493.4656134041478
185,2,3.3125,1.5,22.313,979.3796953258183,516.1867345708868
185,2,0.1875,1.5,12.5,1202.6168595673942,493.47276598298856
186,2,3.3125,1.5,22.313,979.5722898197262,517.5540501507401
186,2,0.1875,1.5,12.5,1200.6914668384402,491.53952174964843
187,2,3.3125,1.5,22.625,979.9978781310842,517.4840463657913
187,2,0.25,1.5,12.438,1198.781329681901,484.98167980421033
235,1,1.0625,1.5,12.063,1188.8027475786039,466.6718548780046
236,1,1.0625,1.5,12.063,1189.6781692007726,470.02254225040303
243,1,1.1875,1.5,12.125,1067.8588159222963,515.6243214762363
244,1,1.1875,1.5,12.125,1072.163126846923,513.4285221173118
245,1,1.25,1.5,12.125,1072.70676131041,511.88462782936153
246,1,1.25,1.5,12.125,1076.1861374958771,515.3392782241008
